Item_ID,type_1,sti_1,div_1,sti_2,Relation_1,type_2,sti_3,div_2,sti_4,Relation_2,type_3,sti_5,div_3,sti_6,Relation_3,type_4,sti_7,div_4,sti_8,Relation_4,type_q,sti_q1,div_q,sti_q2,Question_1,sti_q3,div_q2,sti_q4,Question_2
1,0,1,は,2,と同じである,0,2,は,3,と同じである,,,,,,,,,,,0,1,は,3,と同じですか？,,,,
2,0,1,は,2,と同じである,0,2,は,3,と同じである,,,,,,,,,,,0,3,は,1,の反対ですか？,,,,
3,0,1,は,2,と同じである,0,2,は,3,の反対である,,,,,,,,,,,0,1,は,3,と同じですか？,,,,
4,0,1,は,2,と同じである,0,2,は,3,の反対である,,,,,,,,,,,0,3,は,1,の反対ですか？,,,,
5,0,1,は,2,の反対である,0,2,は,3,の反対である,,,,,,,,,,,0,1,は,3,と同じですか？,,,,
6,0,1,は,2,の反対である,0,2,は,3,の反対である,,,,,,,,,,,0,3,は,1,の反対ですか？,,,,
7,0,1,は,2,と同じである,0,2,は,3,の反対である,0,3,は,4,と同じである,,,,,,0,1,は,4,と同じですか？,,,,
8,0,1,は,2,と同じである,0,2,は,3,の反対である,0,3,は,4,と同じである,,,,,,0,4,は,1,の反対ですか？,,,,
9,0,1,は,2,の反対である,0,2,は,3,と同じである,0,3,は,4,の反対である,,,,,,0,1,は,4,と同じですか？,,,,
10,0,1,は,2,の反対である,0,2,は,3,と同じである,0,3,は,4,の反対である,,,,,,0,4,は,1,の反対ですか？,,,,
11,0,1,は,2,の反対である,0,2,は,3,の反対である,0,3,は,4,の反対である,,,,,,0,1,は,4,と同じですか？,,,,
12,0,1,は,2,の反対である,0,2,は,3,の反対である,0,3,は,4,の反対である,,,,,,0,4,は,1,の反対ですか？,,,,
13,0,1,は,2,の反対である,0,2,は,3,と同じである,0,3,は,4,の反対である,0,4,は,5,と同じである,0,1,は,5,と同じですか？,,,,
14,0,1,は,2,の反対である,0,2,は,3,と同じである,0,3,は,4,の反対である,0,4,は,5,と同じである,0,5,は,1,の反対ですか？,,,,
15,0,1,は,2,と同じである,0,2,は,3,の反対である,0,3,は,4,と同じである,0,4,は,5,の反対である,0,1,は,5,と同じですか？,,,,
16,0,1,は,2,と同じである,0,2,は,3,の反対である,0,3,は,4,と同じである,0,4,は,5,の反対である,0,5,は,1,の反対ですか？,,,,
17,0,1,は,2,と同じである,0,2,は,3,と同じである,,,,,,,,,,,0,3,は,1,と同じですか？,,,,
18,0,1,は,2,と同じである,0,2,は,3,と同じである,,,,,,,,,,,0,1,は,3,と違いますか？,,,,
19,0,1,は,2,と同じである,0,2,は,3,と違っている,,,,,,,,,,,0,3,は,1,と同じですか？,,,,
20,0,1,は,2,と同じである,0,2,は,3,と違っている,,,,,,,,,,,0,1,は,3,と違いますか？,,,,
21,0,1,は,2,と違っている,0,2,は,3,と同じである,,,,,,,,,,,0,3,は,1,と同じですか？,,,,
22,0,1,は,2,と違っている,0,2,は,3,と同じである,,,,,,,,,,,0,1,は,3,と違いますか？,,,,
23,0,1,は,2,と同じである,0,2,は,3,と違っている,0,3,は,4,と同じである,,,,,,0,4,は,1,と同じですか？,,,,
24,0,1,は,2,と同じである,0,2,は,3,と違っている,0,3,は,4,と同じである,,,,,,0,1,は,4,と違いますか？,,,,
25,0,1,は,2,と同じである,0,2,は,3,と同じである,0,3,は,4,と違っている,,,,,,0,1,は,4,と同じですか？,,,,
26,0,1,は,2,と同じである,0,2,は,3,と同じである,0,3,は,4,と違っている,,,,,,0,4,は,1,と違いますか？,,,,
27,0,1,は,2,と同じである,0,2,は,3,と同じである,0,3,は,4,と違っている,0,4,は,5,と同じである,0,5,は,1,と同じですか？,,,,
28,0,1,は,2,と同じである,0,2,は,3,と同じである,0,3,は,4,と違っている,0,4,は,5,と同じである,0,1,は,5,と違いますか？,,,,
29,0,1,は,2,と同じである,0,2,は,3,と違っている,0,3,は,4,と同じである,0,4,は,5,と同じである,0,5,は,1,と同じですか？,,,,
30,0,1,は,2,と同じである,0,2,は,3,と違っている,0,3,は,4,と同じである,0,4,は,5,と同じである,0,1,は,5,と同じですか？,,,,
31,0,1,は,2,と同じである,0,2,は,3,と違っている,0,3,は,4,と同じである,0,4,は,5,と同じである,0,5,は,1,と違いますか？,,,,
32,0,1,は,2,と同じである,0,2,は,3,と違っている,0,3,は,4,と同じである,0,4,は,5,と同じである,0,1,は,5,と違いますか？,,,,
33,0,1,は,2,より多い,0,2,は,3,より多い,,,,,,,,,,,0,1,は,3,より多いですか？,,,,
